;COD_PERSONAL;Last Grade
0;C017HUM;4
1;C017QTY;5
2;C093LPG;9
3;C095EUA;6
4;C117NCP;9
5;C117PCP;9
6;C117ZCJ;9
7;C131CXA;9
8;C219FXH;5
9;C293CQN;8
10;C318MDG;9
11;C319GBH;9
12;C362BFV;9
13;C417EYF;4
14;C447PLV;5
15;C476NXT;4
16;C518UIX;7
17;C717CXP;6
18;C739FTF;6
19;C798RCT;9
20;C824FSS;4
21;C824NBF;4
22;C824PBD;9
23;C870LSQ;9
24;C918IFC;9
25;C918MAY;5
26;C919YHU;4
27;C958WNC;4
28;C973KNY;9
29;C990QJT;9
30;D029TLV;9
31;D056QJV;8
32;D070GGF;9
33;D077DTL;9
34;D095SAB;6
35;D136TKR;9
36;D142RPP;7
37;D156UGS;6
38;D228DXU;9
39;D230VRZ;5
40;D259IWF;9
41;D288SZI;7
42;D340RAN;5
43;D354VFQ;8
44;D379DMI;9
45;D456XJE;9
46;D467YBA;9
47;D547MVL;4
48;D551IGQ;6
49;D558QCH;9
50;D675EZD;8
51;D755CGK;8
52;D852UCL;9
53;D862VCU;5
54;D983FVL;5
55;E144ATR;4
56;E145UGF;3
57;E155GVJ;9
58;E353ZCS;9
59;E390QSK;9
60;E477LWH;6
61;E582SJC;7
62;E589SFW;9
63;E652VBM;9
64;E844UWS;8
65;E887HEZ;8
66;E890NPT;3
67;E996ZYW;6
68;C025CRL;9
69;C051QSA;9
70;C221CWQ;6
71;C251BSI;4
72;C265CLS;6
73;C285UVN;9
74;C367YZU;6
75;C422CKG;4
76;C422QJH;9
77;C536LHS;6
78;C621FSM;9
79;C621VUI;3
80;C628DNC;6
81;C763DVE;9
82;C840FBW;7
83;C857DPQ;7
84;C920LBC;9
85;C965CQK;6
86;D539FUX;9
87;D575MPL;9
88;D737HGH;9
89;D771KGY;9
90;E030VPF;4
91;E442YSI;9
92;E765EJP;6
93;E796URB;9
94;C019NRA;6
95;C025DWY;4
96;C218MXV;5
97;C317MXY;3
98;C319RPC;6
99;C320VCH;3
100;C324QJE;6
101;C324XJC;4
102;C324YJC;3
103;C419TLM;4
104;C528ZQH;3
105;C618BUT;6
106;C719RXZ;4
107;C721YGV;6
108;C917JCJ;5
109;C917RBE;9
110;C918CSS;6
111;C918STB;6
112;C919SDX;8
113;D076AAT;6
114;D142XZV;6
115;D144DMT;6
116;D163CSB;6
117;D244RTW;9
118;D257AZN;8
119;D339WWJ;6
120;D378PDX;9
121;D438NIC;3
122;D459CJA;6
123;D461NBS;7
124;D534GXP;6
125;D550WBY;3
126;D697XMG;9
127;D756GMX;9
128;D762RMV;6
129;D785YJQ;6
130;D798LAA;6
131;D863QLK;6
132;D889QWL;9
133;D928RCS;9
134;D936CLN;6
135;D946BBN;6
136;D949EHK;6
137;D950WWK;6
138;D956EYW;6
139;E233CVG;6
140;E274DVU;9
141;E728QSW;9
142;E955NAH;6
143;C018QDG;6
144;C018TDN;4
145;C020FPB;5
146;C023AWF;7
147;C025RKJ;3
148;C030IZW;3
149;C079IRK;8
150;C080XMY;3
151;C120VMK;4
152;C122WIB;9
153;C270IPP;3
154;C274JLU;6
155;C287UQN;7
156;C318IYU;5
157;C318JYZ;4
158;C318LYZ;5
159;C318MYZ;6
160;C320BLM;5
161;C320YXU;6
162;C321NRU;6
163;C323ZSK;9
164;C331AJE;9
165;C420XEI;4
166;C424JAS;3
167;C474NFG;6
168;C477UYP;9
169;C519JLZ;6
170;C520YBG;3
171;C525WHW;3
172;C566EMU;9
173;C588YAE;9
174;C617TAE;3
175;C718EVE;4
176;C718NXI;3
177;C718TVT;3
178;C718VVH;3
179;C733HMU;9
180;C795MCY;4
181;C820LPY;3
182;C820ZKI;3
183;C821ICB;6
184;C823DTB;7
185;C851FWG;9
186;C922VTI;3
187;C946UBQ;9
188;C953TCH;6
189;C955FNT;6
190;D044QLP;4
191;D075KPP;9
192;D093NJG;3
193;D138CYD;5
194;D179NMG;4
195;D188BDL;3
196;D297TCR;3
197;D358FDU;3
198;D377LFB;9
199;D426WYQ;3
200;D457JIH;3
201;D476IVM;6
202;D529XBT;3
203;D635JLS;3
204;D740VRW;3
205;D855WRS;3
206;D891YDD;6
207;D940VCX;9
208;D984ZKR;4
209;D994AAD;6
210;E338WAC;9
211;E733PVD;9
212;E780RIE;3
213;E859NPA;4
214;E898UDI;6
215;E957JRE;3
216;C021YHF;5
217;C061WJN;9
218;C158XNN;5
219;C194QFY;9
220;C282XGJ;7
221;C285MFC;7
222;C324XVG;6
223;C425UDB;6
224;C457NAV;7
225;C464DMI;5
226;C499MYX;9
227;C524PIB;6
228;C620WLM;7
229;C663JVG;9
230;C721QYL;6
231;C721SPS;5
232;C885ZIP;9
233;C933SCI;5
234;D052UXZ;6
235;D057FMR;6
236;D061TPS;9
237;D153FNH;7
238;D167XBL;9
