Keys,English,Francais,Español
Title,A language barrier to human capital development: are students in third grade facing a language barrier in the Guatemalan education system?,Une barrière linguistique au développement du capital humain : les élèves de troisième année sont-ils confrontés à une barrière linguistique dans le système éducatif guatémaltèque?,Una barrera de lenguaje para el desarrollo de capital humano: Están los estudiantes de tercer grado enfrentando una barrera de aprendizaje en el sistema educativo Guatemalteco?
TitleGoal,Problem,Problème,Problema
Goal,High dropout rate for indigenous students in Guatemala.,Taux élevé d'abandon scolaire chez les étudiants autochtones au Guatemala.,Alta tasa de deserción de estudiantes indígenas en Guatemala.
TitleBenefit,Solution,Solution,Solución
Benefit,"A webpage where decision-makers can visualize the influence of language on students' grade progression. The Ministry of Education of Guatemala will be able to design and institutionalize programs, based on data, specifically targeted at students at risk.","Une page Web où les décideurs peuvent visualiser l'influence de la langue sur la progression scolaire des élèves. Le ministère de l'Éducation du Guatemala pourra concevoir et institutionnaliser des programmes, basés sur des données, spécifiquement destinés aux élèves à risque.","Una página web donde los tomadores de decisiones pueden visualizar la influencia del idioma en la progresión de grado de los estudiantes. El Ministerio de Educación de Guatemala podrá diseñar e institucionalizar programas, basados en datos, específicamente dirigidos a estudiantes en riesgo."
TitleTechnical,Technical details,Détails techniques,Detalles técnicos
Technical,"By using data analysis, I identify the variables affecting grade progression.#By using statistics, I disaggregate the influence of language on grade progression.#By using cloud platforms, I create a webpage to inform decision makers.","En utilisant l'analyse de données, j'identifie les variables affectant la progression scolaire.#En utilisant des statistiques, je désagrège l'influence de la langue sur la progression scolaire.#En utilisant des plateformes cloud, je crée une page Web pour informer les décideurs.","Al usar el análisis de datos, identifico las variables que afectan la progresión de grado.#Al usar estadísticas, desagrego la influencia del idioma en la progresión de grado.#Al usar plataformas en la nube, creo una página web para informar a los tomadores de decisiones."
TitleTools,Key technologies,Technologies clés,Tecnologías claves
Tools,"Pandas, Plotly, Flask, HTML, CSS, JS, Heroku.","Pandas, Plotly, Flask, HTML, CSS, JS, Heroku.","Pandas, Plotly, Flask, HTML, CSS, JS, Heroku."
TitleProject,Project,Projet,Proyecto
